Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
31,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.17701508326508328,0.08465656806617905,0.07073596580175527,0.17701508326508328,inf
32,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.12774706524706525,0.05008844010512531,0.03583770684465128,0.12774706524706525,inf
33,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.0888957138957139,0.02667360130595425,0.02782043407043407,0.0888957138957139,inf
34,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.04499396999396999,0.045452968464332104,0.10832138957138958,inf
35,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01198151234915941,0.006500810661367845,0.07847904722904724,inf
36,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,inf
37,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10691373191373192,0.045662722935450206,0.05102182461053428,0.10691373191373192,inf
38,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.08748805623805624,0.026917922993532517,0.04284802323595427,0.08748805623805624,inf
39,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,inf
40,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,inf
41,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.12774706524706525,0.04585286850911851,0.03014758264758265,0.12774706524706525,inf
42,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.16800607425607428,0.07522198334698334,0.055617738939931445,0.16800607425607428,inf
43,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,inf
44,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.12774706524706525,0.06579263432711709,0.06568310856505301,0.12774706524706525,inf
45,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.012216530598883538,0.006639878514878516,0.07847904722904724,inf
46,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.1575894075894076,0.07096925235512191,0.05868416195120741,0.1575894075894076,inf
47,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10691373191373192,0.036893280427763187,0.02687468037084895,0.10691373191373192,inf
48,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.07847904722904724,0.01171999921999922,0.006345432930487446,0.07847904722904724,inf
