Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
15,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8614465601965602,0.8585037051343869,0.9007836387523888,0.8614465601965602,3.3591380993525184
16,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8781961506961509,0.8632264684196503,0.8834170371670371,0.8781961506961509,3.006479096412659
17,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8859275184275186,0.8857490591240591,0.9180601868101869,0.8859275184275186,2.8042288064956664
18,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8699805487305486,0.8636017172323991,0.897924155892906,0.8699805487305486,3.1202946345011395
19,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8802835790335791,0.8742415906165906,0.9093313077688077,0.8802835790335791,2.8460241079330446
20,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8691359541359542,0.8610877897184714,0.8920461797024297,0.8691359541359542,3.174259972572327
21,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.860423832923833,0.8523857457607458,0.8854949982449982,0.860423832923833,3.175841848055522
22,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8762305487305486,0.8706652208584027,0.8978571916071916,0.8762305487305486,2.966372450192769
23,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9064844389844391,0.9057475469407288,0.9256849284349284,0.9064844389844391,3.05274178981781
24,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8780978705978706,0.8787682719614537,0.9177247864747864,0.8780978705978706,3.2732584953308104
25,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8883026208026209,0.8882222944154762,0.9211394738894739,0.8883026208026209,3.172070042292277
26,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8973935298935298,0.8956664268596087,0.9290387367887367,0.8973935298935298,3.025626985232035
27,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8967383292383293,0.8929348423098423,0.9210261787761788,0.8967383292383293,3.0010585308074953
28,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9009807534807536,0.9031441643373462,0.938292354042354,0.9009807534807536,3.02474102973938
29,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8884428746928748,0.8852813020994839,0.9222539341289343,0.8884428746928748,2.847377856572469
30,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8882534807534809,0.8862887274819095,0.910199338949339,0.8882534807534809,2.9109134276707964
31,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8949692874692875,0.8951837263769082,0.9363937151437153,0.8949692874692875,2.7450307846069335
32,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8804729729729729,0.8766711878643697,0.9146439783939784,0.8804729729729729,3.2507851362228393
33,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8846171171171171,0.8867646919578738,0.9259417046917047,0.8846171171171171,2.8261317650477094
34,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8912837837837838,0.8837634749566569,0.9119670157170157,0.8912837837837838,3.044484798113505
35,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9118407043407043,0.9143327337077338,0.9425539663039663,0.9118407043407043,2.596988383928935
36,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8834541359541358,0.8797425709357528,0.913258307008307,0.8834541359541358,3.0115622520446776
37,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9197686322686323,0.9245419145419145,0.9568457134082134,0.9197686322686323,2.881626534461975
38,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9040601965601965,0.9068255080186898,0.942129645879646,0.9040601965601965,3.2596159140268965
39,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.875575348075348,0.8768989720921538,0.9208003685503685,0.875575348075348,3.088049308458964
40,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8979995904995904,0.9016837428769247,0.937331666081666,0.8979995904995904,3.3053835233052573
41,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9033558558558559,0.901883153076335,0.9350835088335089,0.9033558558558559,2.924248456954956
42,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8943140868140869,0.8958077270009088,0.9351993389493389,0.8943140868140869,2.940088645617167
43,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9070413595413596,0.9093863705795524,0.941179136929137,0.9070413595413596,2.8827529152234392
44,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8647153972153973,0.8656177968109787,0.9095328672828675,0.8647153972153973,3.7502166509628294
45,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9027989352989353,0.904926090119272,0.9388284875784876,0.9027989352989353,2.7565866231918337
46,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9070413595413596,0.9093863705795524,0.9411791369291368,0.9070413595413596,3.6270111401875815
47,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9107268632268634,0.9093316505248324,0.9385437872937873,0.9107268632268634,2.841506314277649
48,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9100716625716627,0.9121726751840388,0.9419670157170158,0.9100716625716627,2.9919851144154865
49,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8943140868140869,0.8933533127283126,0.9250261787761787,0.8943140868140869,3.4851849476496377
50,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8699805487305488,0.8704419580783217,0.9120917390604891,0.8699805487305488,3.355865351359049
51,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.9035943898443899,0.9100239968421787,0.9484524053274054,0.9035943898443899,3.08516104221344
